<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: phase4-idukki_phase4_monthly_observed_aggregate.csv>
index,month,idukki_rain_reported_days,idukki_rain_mm_mean_on_reported_days,idukki_inflow_reported_days,idukki_inflow_mcm_day_mean_on_reported_days,idukki_station_generation_reported_days,idukki_station_generation_mu_day_mean_on_reported_days,idukki_storage_reported_days,idukki_storage_mcm_median_on_reported_days
0,2019-08,26,32.63230769230769,26,31.03969230769231,26,2.3946153846153844,26,703.0635
1,2019-09,27,17.311111111111114,30,14.327433333333332,30,3.301133333333333,30,978.8435
2,2019-10,24,8.566666666666666,30,7.096966666666666,30,2.8159,30,1025.9969999999998
3,2019-11,11,13.636363636363637,30,4.002466666666667,30,2.6897,30,1136.403
4,2019-12,1,0.2,24,1.26525,24,3.2100833333333334,31,1116.707
5,2020-01,0,,26,0.6976923076923077,31,5.40541935483871,31,1041.191
6,2020-02,0,,25,0.38892,29,4.832448275862069,29,942.92
7,2020-03,5,8.76,20,0.6046,31,5.367354838709677,31,846.358
8,2020-04,9,16.444444444444443,27,1.1364074074074073,30,6.6507,30,743.8365
9,2020-05,14,6.057142857142857,31,1.1999354838709675,31,8.106903225806452,31,598.14
10,2020-06,27,15.444444444444445,30,4.770333333333334,30,9.7935,30,466.967
11,2020-07,28,18.87857142857143,31,8.09274193548387,31,4.396032258064516,31,454.143
12,2020-08,21,42.77142857142857,31,26.424451612903223,31,3.3345806451612905,31,961.387
13,2020-09,29,22.66896551724138,30,16.590500000000002,30,4.029466666666667,30,1050.423
14,2020-10,18,13.533333333333331,31,10.38790322580645,31,6.397903225806452,31,1302.412
15,2020-11,10,9.14,30,4.458933333333333,30,5.197,30,1298.4375
16,2020-12,11,2.4909090909090907,29,2.4051379310344827,31,5.670645161290322,31,1262.358
17,2021-01,6,7.533333333333334,27,1.9857777777777776,31,7.541193548387096,31,1177.63
18,2021-02,3,1.0666666666666669,28,1.1992142857142858,28,11.39375,28,1004.975
19,2021-03,4,4.7,25,1.45192,31,11.012483870967742,31,781.16
20,2021-04,14,8.8,28,1.3775357142857143,30,9.032466666666666,30,583.422
