financial_year,solar_cumulative_addition_mw,wind_cumulative_addition_mw,hydro_cumulative_addition_mw,published_total_cumulative_addition_mw,classification,source,report_page
2023,262,56,20,338,published_external_scenario,CSTEP 2024,56
2024,611,131,46,788,published_external_scenario,CSTEP 2024,56
2025,970,208,73,1251,published_external_scenario,CSTEP 2024,56
2026,1341,287,101,1729,published_external_scenario,CSTEP 2024,56
2027,1723,369,130,2222,published_external_scenario,CSTEP 2024,56
2028,2117,453,160,2730,published_external_scenario,CSTEP 2024,56
2029,2523,540,191,3254,published_external_scenario,CSTEP 2024,56
2030,2942,629,222,3794,published_external_scenario,CSTEP 2024,56
2031,3393,726,256,4375,published_external_scenario,CSTEP 2024,56
2032,3859,825,292,4975,published_external_scenario,CSTEP 2024,56
2033,4338,928,328,5594,published_external_scenario,CSTEP 2024,56
2034,4832,1033,365,6231,published_external_scenario,CSTEP 2024,56
2035,5342,1142,404,6888,published_external_scenario,CSTEP 2024,56
2036,5917,1265,447,7630,published_external_scenario,CSTEP 2024,56
2037,6510,1392,492,8394,published_external_scenario,CSTEP 2024,56
2038,7119,1522,538,9179,published_external_scenario,CSTEP 2024,56
2039,7746,1657,585,9988,published_external_scenario,CSTEP 2024,56
2040,8391,1794,634,10820,published_external_scenario,CSTEP 2024,56
