financial_year,domestic_mu,commercial_lt_mu,industrial_lt_mu,ht_eht_mu,public_lighting_mu,railway_traction_mu,licensees_mu,agricultural_lt_mu,published_bau_demand_mu,ev_demand_mu,induction_cooktop_demand_mu,published_final_demand_without_td_losses_mu,td_loss_pct,published_final_demand_with_td_losses_mu,classification,source,report_page
2023,13127,3401,1174,4875,379,351,624,390,24321,34,12,24367,10.07,26821,published_external_scenario,CSTEP 2024,54
2024,13591,3495,1184,4981,380,374,631,407,25043,57,24,25124,9.95,27624,published_external_scenario,CSTEP 2024,54
2025,14071,3592,1193,5089,382,398,639,424,25788,79,37,25904,9.83,28451,published_external_scenario,CSTEP 2024,54
2026,14569,3691,1202,5199,384,424,648,442,26558,102,49,26710,9.71,29304,published_external_scenario,CSTEP 2024,54
2027,15083,3793,1212,5312,386,451,656,461,27353,126,62,27541,9.59,30183,published_external_scenario,CSTEP 2024,54
2028,15616,3898,1221,5427,388,480,664,480,28174,149,75,28399,9.47,31089,published_external_scenario,CSTEP 2024,54
2029,16168,4005,1231,5545,389,511,673,501,29023,173,89,29285,9.35,32023,published_external_scenario,CSTEP 2024,54
2030,16739,4116,1240,5665,391,544,681,522,29899,198,102,30199,9.23,32986,published_external_scenario,CSTEP 2024,54
2031,17331,4229,1250,5788,393,579,690,544,30804,249,130,31184,9.11,34024,published_external_scenario,CSTEP 2024,54
2032,17943,4346,1260,5914,395,616,699,567,31740,302,159,32200,8.99,35094,published_external_scenario,CSTEP 2024,54
2033,18577,4466,1270,6042,397,656,707,592,32707,355,188,33250,8.86,36197,published_external_scenario,CSTEP 2024,54
2034,19233,4590,1280,6173,398,699,716,617,33706,408,218,34332,8.74,37333,published_external_scenario,CSTEP 2024,54
2035,19913,4716,1290,6307,400,744,725,643,34738,462,249,35450,8.62,38505,published_external_scenario,CSTEP 2024,54
2036,20617,4847,1300,6444,402,792,735,670,35805,624,281,36710,8.50,39829,published_external_scenario,CSTEP 2024,54
2037,21345,4980,1310,6584,404,843,744,699,36908,788,313,38009,8.37,41191,published_external_scenario,CSTEP 2024,54
2038,22099,5118,1320,6726,406,897,753,728,38049,953,346,39347,8.25,42593,published_external_scenario,CSTEP 2024,54
2039,22880,5259,1331,6872,408,955,763,759,39227,1119,380,40727,8.12,44035,published_external_scenario,CSTEP 2024,54
2040,23688,5404,1341,7021,410,1017,773,792,40446,1286,415,42147,8.00,45519,published_external_scenario,CSTEP 2024,54
