date,interface_name_as_reported,import_mu,month_cumulative_mu,source_daily_average_mu,classification,source_sha256
2024-04-01,400KV MDKA,11.856,11.856,11.856,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,400KV PKKD,9.7,9.7,,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,400KV KOCHI+KOTTAYAM,17.924,17.924,17.924,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,400KV KOZHKOD,16.11,16.11,,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,400KV NORTH TRSR,7.94,7.94,7.94,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,400KV TVM,10.108,10.108,,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,220KV_KNPA+SBGR +PVUD+EDMN,8.9816,8.9816,8.9816,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-01,110KV_MJSM +PRSLA,0.7148,0.7148,,official_observed_reference,2a63792087fc1ac0110ff492517dac23b39bc3b888f03c5435634fdb8c8aa989
2024-04-02,400KV MDKA,11.66,23.516,11.758,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,400KV PKKD,9.818,19.518,,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,400KV KOCHI+KOTTAYAM,17.431,35.355,17.6775,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,400KV KOZHKOD,16.725,32.835,,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,400KV NORTH TRSR,7.9799,15.9199,7.96,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,400KV TVM,10.011,20.119,,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,220KV_KNPA+SBGR +PVUD+EDMN,9.1171,18.0986,9.0493,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-02,110KV_MJSM +PRSLA,0.7083,1.4231,,official_observed_reference,937af3a69a8a3b2b57a0b902c50cea97c280b43283984bcfaa6ec1979a240375
2024-04-03,400KV MDKA,11.744,35.26,11.7533,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,400KV PKKD,9.841,29.359,,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,400KV KOCHI+KOTTAYAM,16.741,52.096,17.3653,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,400KV KOZHKOD,16.714,49.549,,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,400KV NORTH TRSR,8.0362,23.9561,7.9854,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,400KV TVM,10.083,30.202,,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,220KV_KNPA+SBGR +PVUD+EDMN,9.2168,27.3155,9.1052,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-03,110KV_MJSM +PRSLA,0.7444,2.1675,,official_observed_reference,e5477518254b041f5434965ebfb6701e0c8588c8b0405e761a5e6cdf0273417a
2024-04-04,400KV MDKA,11.775,47.035,11.7588,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,400KV PKKD,9.76,39.119,,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,400KV KOCHI+KOTTAYAM,15.644,67.74,16.935,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,400KV KOZHKOD,16.285,65.834,,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,400KV NORTH TRSR,7.8577,31.8139,7.9535,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,400KV TVM,9.633,39.835,,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,220KV_KNPA+SBGR +PVUD+EDMN,8.4256,35.7411,8.9353,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-04,110KV_MJSM +PRSLA,0.8596,3.0271,,official_observed_reference,652c8729633454ccd7e0f8c80273f8820d9c2fc0058bca5f894f13d70673214e
2024-04-05,400KV MDKA,12.048,59.083,11.8166,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
2024-04-05,400KV PKKD,9.721,48.84,,official_observed_reference,deb9194b1fd5ceb4519a99bc014b589eb5bf70acdf00a77241de99f73946c699
