date,reservoir_name_as_reported,min_drawdown_level_m,full_reservoir_level_m,full_reservoir_storage_mcm,full_reservoir_storage_reported_mu,level_m,effective_storage_mcm,storage_percent,generation_capability_gross_mu,generation_capability_station_mu,classification,source_sha256
2024-04-01,IDUKKI,694.944,732.43,1460,2190,715.774,649.727,45,974.591,955.099,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,PAMBA,963.168,986.332,31.001,59.46,964.6,1.06,46,423.849,357.001,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,KAKKI,908.304,981.456,446.542,856.467,964.323,219.925,0,0,,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,SHOLAYAR,779.374,811.68,149.23,152.065,798.85,58.555,39,59.667,39.056,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,IDAMALAYAR,115,169,1017.8,254.45,147.16,452.52,44,113.13,113.13,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,130.29,56.355,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,MADUPPATTY,1554.48,1599.59,55.217,161.234,1592.75,37.3,68,0,,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,KUTTIADI,737.616,758.037,33.99,42.827,753.039,21.865,64,108.127,104.694,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,THARIODE,750.5,775.6,201,253.26,762.55,63.95,32,0,,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,ANAYIRANKAL,1188,1207.008,48.968,65.616,1202.88,30.95,63,66.437,23.387,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,PONMUDI,678.8,707.745,47.4,63.516,694.35,18.63,39,0,,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,NERIAMANGALAM,445,456.59,5.557,4.835,453.6,3.62,65,3.149,1.483,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,PORINGAL,405.689,423.976,30.356,10.625,416.6,12.3,41,4.305,4.305,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.7,,0,0,,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,LOWER PERIYAR,237.74,253,4.55,2.093,250.4,3.44,76,1.582,1.582,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-01,KAKKAD,181.36,192.63,1.16,0.358,185,,0,0,,official_observed_reference,7b3095478b01c8bec9aa8c8f671a781bc4af1bb86dd364546cf854474078bec5
2024-04-02,IDUKKI,694.944,732.43,1460,2190,715.634,644.077,44,966.116,946.793,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,PAMBA,963.168,986.332,31.001,59.46,964.3,0.82,46,418.642,352.615,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,KAKKI,908.304,981.456,446.542,856.467,964.055,217.45,0,0,,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,SHOLAYAR,779.374,811.68,149.23,152.065,798.637,57.464,39,58.556,38.329,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,IDAMALAYAR,115,169,1017.8,254.45,146.95,447.95,44,111.988,111.988,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,KUNDALA,1735.836,1758.696,7.787,22.738,1758.1,7.32,94,129.414,55.976,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,MADUPPATTY,1554.48,1599.59,55.217,161.234,1592.6,37,67,0,,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,KUTTIADI,737.616,758.037,33.99,42.827,753.039,21.865,64,107.119,103.718,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,THARIODE,750.5,775.6,201,253.26,762.45,63.15,31,0,,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,ANAYIRANKAL,1188,1207.008,48.968,65.616,1202.7,30.23,62,65.472,23.047,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,PONMUDI,678.8,707.745,47.4,63.516,694.35,18.63,39,0,,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,NERIAMANGALAM,445,456.59,5.557,4.835,453.35,3.47,62,3.019,1.422,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,PORINGAL,405.689,423.976,30.356,10.625,416.65,12.4,41,4.34,4.34,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,SENGULAM (SBR),844.86,847.6,1.614,0.71,846.85,,0,0,,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,LOWER PERIYAR,237.74,253,4.55,2.093,250.6,3.51,77,1.615,1.615,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-02,KAKKAD,181.36,192.63,1.16,0.358,186.15,,0,0,,official_observed_reference,dc34b723ecb9accfbc8c9d89d5c0fabfc862dd15299828316f8100bdc4c00ed9
2024-04-03,IDUKKI,694.944,732.43,1460,2190,715.5,638.682,44,958.023,938.863,official_observed_reference,b0f52106291509e19c4f33ca3fbc252c7251747e398b130df04737b9a424113e
