date,category,period,metric,mw,time_from,time_to,frequency_hz,classification,source_sha256
2024-04-01,maximum,Day,Generation,1156,16:00,16:30,49.97,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,maximum,Day,Consumption,4562,16:00,16:30,49.97,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,maximum,Evening,Generation,1631,22:00,22:30,49.96,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,maximum,Evening,Consumption,5265,22:30,23:00,50.03,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,maximum,Morning,Generation,783,05:30,06:00,50.09,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,maximum,Morning,Consumption,3888,05:30,06:00,50.09,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,minimum,Night,Generation,621,04:30,05:00,50.05,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,minimum,Night,Consumption,3846,04:30,05:00,50.05,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,minimum,Day,Generation,332,08:00,08:30,50.05,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-01,minimum,Day,Consumption,3843,09:00,09:30,50.03,official_observed_reference,363b3686efb1712222ddef31784ce84c19160324247fd70f47d5b7428600f9b0
2024-04-02,maximum,Day,Generation,1252,15:30,16:00,50.03,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,maximum,Day,Consumption,4691,15:30,16:00,50.03,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,maximum,Evening,Generation,1621,22:00,22:30,49.99,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,maximum,Evening,Consumption,5262,22:30,23:00,49.95,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,maximum,Morning,Generation,890,05:30,06:00,50.07,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,maximum,Morning,Consumption,4028,05:30,06:00,50.07,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,minimum,Night,Generation,688,01:30,02:00,50.04,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,minimum,Night,Consumption,4004,05:00,05:30,49.97,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,minimum,Day,Generation,402,08:00,08:30,50.02,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-02,minimum,Day,Consumption,3973,09:00,09:30,50.00,official_observed_reference,1cdf182b74086eab9d5fe8e5fa2dd9cc01acbf118668c4668b701bb6ca682d46
2024-04-03,maximum,Day,Generation,1385,16:00,16:30,50.09,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,maximum,Day,Consumption,4704,15:30,16:00,50.05,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,maximum,Evening,Generation,1579,22:00,22:30,50,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,maximum,Evening,Consumption,5359,22:30,23:00,50.03,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,maximum,Morning,Generation,887,05:00,05:30,49.91,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,maximum,Morning,Consumption,4042,05:00,05:30,49.91,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,minimum,Night,Generation,648,04:30,05:00,50.00,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,minimum,Night,Consumption,3947,04:30,05:00,50.00,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,minimum,Day,Generation,409,10:00,10:30,49.95,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-03,minimum,Day,Consumption,3966,09:00,09:30,49.97,official_observed_reference,5218fff23a162a4f7d3444bf9406091c54a7c2458affbd4ef1405ee13db6d4a2
2024-04-04,maximum,Day,Generation,1438,15:30,16:00,50,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,maximum,Day,Consumption,4735,15:30,16:00,50.00,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,maximum,Evening,Generation,1667,22:00,22:30,49.95,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,maximum,Evening,Consumption,5220,22:30,23:00,50.05,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,maximum,Morning,Generation,914,05:00,05:30,50.08,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,maximum,Morning,Consumption,4064,05:30,06:00,50.07,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,minimum,Night,Generation,914,05:00,05:30,50.08,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,minimum,Night,Consumption,4012,04:30,05:00,50.04,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,minimum,Day,Generation,435,08:00,08:30,50.00,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-04,minimum,Day,Consumption,3896,09:00,09:30,49.94,official_observed_reference,895a9ec542e52b7031f9fa3b0be2653da3c77e0d77be40674a4a30bb8c60c934
2024-04-05,maximum,Day,Generation,1377,17:30,18:00,50.12,official_observed_reference,20997137572ea46bdd41c0c74041e070f1d5f1eeed05a72e34b3e0e56c0d9f6e
2024-04-05,maximum,Day,Consumption,4847,16:30,17:00,50.10,official_observed_reference,20997137572ea46bdd41c0c74041e070f1d5f1eeed05a72e34b3e0e56c0d9f6e
2024-04-05,maximum,Evening,Generation,1653,22:00,22:30,49.97,official_observed_reference,20997137572ea46bdd41c0c74041e070f1d5f1eeed05a72e34b3e0e56c0d9f6e
2024-04-05,maximum,Evening,Consumption,5289,22:00,22:30,49.97,official_observed_reference,20997137572ea46bdd41c0c74041e070f1d5f1eeed05a72e34b3e0e56c0d9f6e
